t=2025-03-14T18:24:38-0700 lvl=info msg="open config file" path=/home/noah/Sidework/repos/protondemand/ngrok.yml err=nil
t=2025-03-14T18:25:43-0700 lvl=info msg="join connections" obj=join id=0d166b67564c l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:43-0700 lvl=info msg="join connections" obj=join id=0fc662de8277 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:43-0700 lvl=info msg="join connections" obj=join id=3e90837abf14 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:43-0700 lvl=info msg="join connections" obj=join id=4f8bae2afa7c l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:43-0700 lvl=info msg="join connections" obj=join id=863948752166 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:43-0700 lvl=info msg="join connections" obj=join id=c2172bc93b20 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:43-0700 lvl=info msg="join connections" obj=join id=077b3522b51c l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:43-0700 lvl=info msg="join connections" obj=join id=f1f30c30cf30 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:43-0700 lvl=info msg="join connections" obj=join id=978ae9be6471 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:43-0700 lvl=info msg="join connections" obj=join id=aad5636aa386 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:43-0700 lvl=info msg="join connections" obj=join id=a8f79fc9a499 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:43-0700 lvl=info msg="join connections" obj=join id=fa9ef27c0595 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:43-0700 lvl=info msg="join connections" obj=join id=d27a96c17948 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:43-0700 lvl=info msg="join connections" obj=join id=725674c09709 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:43-0700 lvl=info msg="join connections" obj=join id=2df7730e6082 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:43-0700 lvl=info msg="join connections" obj=join id=e20583c72b5c l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:44-0700 lvl=info msg="join connections" obj=join id=3eade8ccdf24 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:44-0700 lvl=info msg="join connections" obj=join id=2bc48d3c8e26 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:44-0700 lvl=info msg="join connections" obj=join id=8f8d47a41f77 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:44-0700 lvl=info msg="join connections" obj=join id=22dd7f260e19 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:44-0700 lvl=info msg="join connections" obj=join id=3e69b6816437 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:44-0700 lvl=info msg="join connections" obj=join id=d4eb1abd007b l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:44-0700 lvl=info msg="join connections" obj=join id=7ed37efb92f5 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:44-0700 lvl=info msg="join connections" obj=join id=8e46edc164a3 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:44-0700 lvl=info msg="join connections" obj=join id=c76478934854 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:44-0700 lvl=info msg="join connections" obj=join id=91042cac8445 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:44-0700 lvl=info msg="join connections" obj=join id=a9175488ebe7 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:44-0700 lvl=info msg="join connections" obj=join id=f24901d17863 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:44-0700 lvl=info msg="join connections" obj=join id=c78ef027fcaa l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:44-0700 lvl=info msg="join connections" obj=join id=653e71ebc181 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:44-0700 lvl=info msg="join connections" obj=join id=90533e8a7968 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:44-0700 lvl=info msg="join connections" obj=join id=26b250507296 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:45-0700 lvl=info msg="join connections" obj=join id=49712eaa0e99 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:45-0700 lvl=info msg="join connections" obj=join id=37b7b0c3b411 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:45-0700 lvl=info msg="join connections" obj=join id=cd0e05559a70 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:45-0700 lvl=info msg="join connections" obj=join id=8099ab6d422d l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:45-0700 lvl=info msg="join connections" obj=join id=bb7ef154bed8 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:45-0700 lvl=info msg="join connections" obj=join id=819024e901a9 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:45-0700 lvl=info msg="join connections" obj=join id=e4c79ad6bb77 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:45-0700 lvl=info msg="join connections" obj=join id=da9b49090be5 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:45-0700 lvl=info msg="join connections" obj=join id=21a9d9580fc0 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:45-0700 lvl=info msg="join connections" obj=join id=f4796cf1d464 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:45-0700 lvl=info msg="join connections" obj=join id=0847da97ad46 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:45-0700 lvl=info msg="join connections" obj=join id=1a418fd3cf84 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:45-0700 lvl=info msg="join connections" obj=join id=8645ef07c827 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:46-0700 lvl=info msg="join connections" obj=join id=b54372e31a41 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:46-0700 lvl=info msg="join connections" obj=join id=ef703f05dddf l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:46-0700 lvl=info msg="join connections" obj=join id=9a61e338474f l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:46-0700 lvl=info msg="join connections" obj=join id=49a978b5d6fb l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:46-0700 lvl=info msg="join connections" obj=join id=a5194964ed8b l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:46-0700 lvl=info msg="join connections" obj=join id=db64a78afba8 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:46-0700 lvl=info msg="join connections" obj=join id=8763e0a914e2 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:46-0700 lvl=info msg="join connections" obj=join id=97066857f97f l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:46-0700 lvl=info msg="join connections" obj=join id=62347facca27 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:46-0700 lvl=info msg="join connections" obj=join id=756df0dae815 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:46-0700 lvl=info msg="join connections" obj=join id=363bfa615981 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:46-0700 lvl=info msg="join connections" obj=join id=42d92393c98f l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:46-0700 lvl=info msg="join connections" obj=join id=d1c2b8b15e98 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:46-0700 lvl=info msg="join connections" obj=join id=635edefbadfe l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:46-0700 lvl=info msg="join connections" obj=join id=7986f3607e56 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:47-0700 lvl=info msg="join connections" obj=join id=0b38b463614c l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:47-0700 lvl=info msg="join connections" obj=join id=612bf333dd87 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:47-0700 lvl=info msg="join connections" obj=join id=5e3bc99d6a2a l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:47-0700 lvl=info msg="join connections" obj=join id=de54c5627775 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:47-0700 lvl=info msg="join connections" obj=join id=f82bdc9a75a9 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:47-0700 lvl=info msg="join connections" obj=join id=2af8b50a0489 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:47-0700 lvl=info msg="join connections" obj=join id=6d70cbe835d4 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:47-0700 lvl=info msg="join connections" obj=join id=e5040bf39b91 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:47-0700 lvl=info msg="join connections" obj=join id=4e8b1dca3c03 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:47-0700 lvl=info msg="join connections" obj=join id=2e2332b787f5 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:47-0700 lvl=info msg="join connections" obj=join id=38ad2465f21a l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:47-0700 lvl=info msg="join connections" obj=join id=a85d5f26e995 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:47-0700 lvl=info msg="join connections" obj=join id=7971fefae438 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:47-0700 lvl=info msg="join connections" obj=join id=fb5fc9f65c0d l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:47-0700 lvl=info msg="join connections" obj=join id=0a16b7a4d1b0 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:48-0700 lvl=info msg="join connections" obj=join id=6a4c7d35504a l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:48-0700 lvl=info msg="join connections" obj=join id=bb8d2efae647 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:48-0700 lvl=info msg="join connections" obj=join id=a3612ec15349 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
